"Area","MTU","Biomass - Actual Aggregated [MW]","Biomass - Actual Consumption [MW]","Energy storage - Actual Aggregated [MW]","Energy storage - Actual Consumption [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Consumption [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Consumption [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Gas - Actual Consumption [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Hard coal - Actual Consumption [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil - Actual Consumption [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Oil shale - Actual Consumption [MW]","Fossil Peat - Actual Aggregated [MW]","Fossil Peat - Actual Consumption [MW]","Geothermal - Actual Aggregated [MW]","Geothermal - Actual Consumption [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Run-of-river and poundage - Actual Consumption [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Consumption [MW]","Marine - Actual Aggregated [MW]","Marine - Actual Consumption [MW]","Nuclear - Actual Aggregated [MW]","Nuclear - Actual Consumption [MW]","Other - Actual Aggregated [MW]","Other - Actual Consumption [MW]","Other renewable - Actual Aggregated [MW]","Other renewable - Actual Consumption [MW]","Solar - Actual Aggregated [MW]","Solar - Actual Consumption [MW]","Waste - Actual Aggregated [MW]","Waste - Actual Consumption [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Offshore - Actual Consumption [MW]","Wind Onshore - Actual Aggregated [MW]","Wind Onshore - Actual Consumption [MW]"
"BZN|CH","01.01.2025 00:00 - 01.01.2025 01:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","248","","978","","634","","n/e","n/e","2968","","n/e","n/e","n/e","n/e","0","","n/e","n/e","n/e","n/e","50",""
"BZN|CH","01.01.2025 01:00 - 01.01.2025 02:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","228","","970","","360","","n/e","n/e","2968","","n/e","n/e","n/e","n/e","0","","n/e","n/e","n/e","n/e","49",""
"BZN|CH","01.01.2025 02:00 - 01.01.2025 03:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","199","","963","","445","","n/e","n/e","2969","","n/e","n/e","n/e","n/e","0","","n/e","n/e","n/e","n/e","55",""
"BZN|CH","01.01.2025 03:00 - 01.01.2025 04:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","176","","956","","303","","n/e","n/e","2969","","n/e","n/e","n/e","n/e","0","","n/e","n/e","n/e","n/e","54",""
"BZN|CH","01.01.2025 04:00 - 01.01.2025 05:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","171","","949","","329","","n/e","n/e","2975","","n/e","n/e","n/e","n/e","0","","n/e","n/e","n/e","n/e","53",""
"BZN|CH","01.01.2025 05:00 - 01.01.2025 06:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","115","","942","","328","","n/e","n/e","2967","","n/e","n/e","n/e","n/e","0","","n/e","n/e","n/e","n/e","54",""
"BZN|CH","01.01.2025 06:00 - 01.01.2025 07:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","130","","936","","306","","n/e","n/e","2964","","n/e","n/e","n/e","n/e","0","","n/e","n/e","n/e","n/e","54",""
"BZN|CH","01.01.2025 07:00 - 01.01.2025 08:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","146","","930","","284","","n/e","n/e","2965","","n/e","n/e","n/e","n/e","0","","n/e","n/e","n/e","n/e","55",""
"BZN|CH","01.01.2025 08:00 - 01.01.2025 09:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","208","","924","","289","","n/e","n/e","2966","","n/e","n/e","n/e","n/e","18","","n/e","n/e","n/e","n/e","58",""
"BZN|CH","01.01.2025 09:00 - 01.01.2025 10:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","303","","920","","275","","n/e","n/e","2966","","n/e","n/e","n/e","n/e","149","","n/e","n/e","n/e","n/e","57",""
